skill_name,month,avg_jobs_month,avg_prev_month_jobs,abs_change_in_avg_jobs,month_over_month_growth,skill_rank
SQL,2022-01-01,30.387096774193548,,,,1
Python,2022-01-01,20.064516129032256,,,,2
Java,2022-01-01,11.129032258064518,,,,3
Big Data,2022-01-01,10.06451612903226,,,,4
Spark,2022-01-01,6.0645161290322589,,,,5
English,2022-01-01,5.8064516129032269,,,,6
Scala,2022-01-01,4.5806451612903221,,,,7
Data,2022-01-01,3.4,,,,8
Tableau,2022-01-01,1.7419354838709673,,,,9
Python,2022-02-01,46.928571428571431,20.064516129032256,26.864055299539174,1.3388837850252644,1
Java,2022-02-01,35.4642857142857,11.129032258064518,24.335253456221182,2.1866459627329173,2
SQL,2022-02-01,34.571428571428569,30.387096774193548,4.1843317972350214,0.13770094024871091,3
Scala,2022-02-01,27.035714285714285,4.5806451612903221,22.455069124423964,4.9021629778672038,4
Big Data,2022-02-01,17.5,10.06451612903226,7.43548387096774,0.738782051282051,5
English,2022-02-01,8.0357142857142847,5.8064516129032269,2.2292626728110578,0.383928571428571,6
Spark,2022-02-01,7.9642857142857135,6.0645161290322589,1.8997695852534546,0.31325987841945258,7
Tableau,2022-02-01,3.3928571428571423,1.7419354838709673,1.650921658986175,0.9477513227513229,8
Power BI,2022-02-01,2.6923076923076916,,,,9
Data,2022-02-01,1.4166666666666665,3.4,-1.9833333333333334,-0.58333333333333337,10
SQL,2022-03-01,41.032258064516121,34.571428571428569,6.4608294930875516,0.18688349773393745,1
Python,2022-03-01,34.12903225806452,46.928571428571431,-12.799539170506911,-0.27274512692099961,2
Java,2022-03-01,25.000000000000004,35.4642857142857,-10.464285714285698,-0.29506545820745178,3
Scala,2022-03-01,19.64516129032258,27.035714285714285,-7.3905529953917046,-0.27336259428133125,4
Big Data,2022-03-01,18.322580645161292,17.5,0.82258064516129181,0.047004608294930958,5
Spark,2022-03-01,12.35483870967742,7.9642857142857135,4.3905529953917064,0.55128019673079731,6
English,2022-03-01,10.548387096774192,8.0357142857142847,2.5126728110599075,0.31268817204301075,7
Tableau,2022-03-01,6.06451612903226,3.3928571428571423,2.6716589861751174,0.7874363327674031,8
Power BI,2022-03-01,2.3548387096774195,2.6923076923076916,-0.33746898263027214,-0.1253456221198154,9
Data,2022-03-01,1.7096774193548383,1.4166666666666665,0.29301075268817178,0.20683111954459188,10
SQL,2022-04-01,37.533333333333324,41.032258064516121,-3.4989247311827967,-0.085272536687631073,1
Python,2022-04-01,34.566666666666663,34.12903225806452,0.43763440860214331,0.01282293635790779,2
Java,2022-04-01,27.800000000000004,25.000000000000004,2.8000000000000007,0.11200000000000002,3
Big Data,2022-04-01,25.533333333333328,18.322580645161292,7.2107526881720361,0.3935446009389667,4
Scala,2022-04-01,15.633333333333328,19.64516129032258,-4.0118279569892525,-0.20421455938697344,5
Spark,2022-04-01,9.8666666666666654,12.35483870967742,-2.4881720430107546,-0.20139251523063548,6
English,2022-04-01,8.7000000000000028,10.548387096774192,-1.8483870967741893,-0.17522935779816476,7
Data,2022-04-01,5.0333333333333341,1.7096774193548383,3.323655913978496,1.9440251572327056,8
Tableau,2022-04-01,2.833333333333333,6.06451612903226,-3.2311827956989267,-0.53280141843971651,9
Power BI,2022-04-01,1.7333333333333334,2.3548387096774195,-0.62150537634408609,-0.26392694063926941,10
SQL,2022-05-01,48.967741935483872,37.533333333333324,11.434408602150548,0.30464676559903775,1
Python,2022-05-01,35.41935483870968,34.566666666666663,0.85268817204301683,0.024667931688804733,2
Java,2022-05-01,27.677419354838712,27.800000000000004,-0.12258064516129252,-0.0044093757252263487,3
Big Data,2022-05-01,26.677419354838712,25.533333333333328,1.1440860215053839,0.044807546534153427,4
Scala,2022-05-01,14.419354838709678,15.633333333333328,-1.2139784946236496,-0.0776532086113209,5
Spark,2022-05-01,9.9032258064516157,9.8666666666666654,0.03655913978495029,0.0037053182214476649,6
English,2022-05-01,6.5806451612903221,8.7000000000000028,-2.1193548387096808,-0.24360400444938851,7
Data,2022-05-01,5.7419354838709671,5.0333333333333341,0.708602150537633,0.14078188421277474,8
Power BI,2022-05-01,2.6129032258064515,1.7333333333333334,0.87956989247311812,0.50744416873449116,9
Tableau,2022-05-01,2.096774193548387,2.833333333333333,-0.736559139784946,-0.25996204933586331,10
SQL,2022-06-01,83.466666666666669,48.967741935483872,34.4989247311828,0.70452349582784368,1
Spark,2022-06-01,41.333333333333336,9.9032258064516157,31.43010752688172,3.17372421281216,2
Python,2022-06-01,38.533333333333346,35.41935483870968,3.1139784946236659,0.087917425622343934,3
Power BI,2022-06-01,27.966666666666665,2.6129032258064515,25.353763440860213,9.7032921810699584,4
Big Data,2022-06-01,17.233333333333331,26.677419354838712,-9.444086021505381,-0.35401047964530447,5
Scala,2022-06-01,16.333333333333332,14.419354838709678,1.9139784946236542,0.13273676360924672,6
Java,2022-06-01,13.966666666666667,27.677419354838712,-13.710752688172045,-0.4953768453768454,7
English,2022-06-01,9.1333333333333329,6.5806451612903221,2.5526881720430108,0.38790849673202615,8
Tableau,2022-06-01,1.8,2.096774193548387,-0.29677419354838697,-0.14153846153846147,9
Data,2022-06-01,1.5666666666666664,5.7419354838709671,-4.1752688172043007,-0.72715355805243442,10
SQL,2022-07-01,82.709677419354819,83.466666666666669,-0.75698924731185,-0.0090693599917553921,1
Python,2022-07-01,39.516129032258064,38.533333333333346,0.98279569892471841,0.025505078691817944,2
Spark,2022-07-01,30.516129032258068,41.333333333333336,-10.817204301075268,-0.26170655567117584,3
Big Data,2022-07-01,21.096774193548384,17.233333333333331,3.8634408602150536,0.2241841891807575,4
Scala,2022-07-01,14.354838709677422,16.333333333333332,-1.9784946236559104,-0.12113232389730065,5
Java,2022-07-01,14.193548387096776,13.966666666666667,0.226881720430109,0.016244514589267949,6
English,2022-07-01,13.709677419354838,9.1333333333333329,4.5763440860215052,0.50105957146220859,7
Power BI,2022-07-01,9.6451612903225818,27.966666666666665,-18.321505376344085,-0.65511938175247031,8
Tableau,2022-07-01,6.4838709677419342,1.8,4.6838709677419343,2.6021505376344081,9
Data,2022-07-01,1.0645161290322582,1.5666666666666664,-0.5021505376344082,-0.32052161976664356,10
SQL,2022-08-01,67.580645161290334,82.709677419354819,-15.129032258064484,-0.18291731669266736,1
Python,2022-08-01,45.548387096774192,39.516129032258064,6.0322580645161281,0.15265306122448977,2
Big Data,2022-08-01,34.903225806451623,21.096774193548384,13.806451612903238,0.65443425076452666,3
Java,2022-08-01,30.903225806451612,14.193548387096776,16.709677419354836,1.177272727272727,4
Spark,2022-08-01,27.387096774193544,30.516129032258068,-3.1290322580645231,-0.10253699788583531,5
Power BI,2022-08-01,24.774193548387096,9.6451612903225818,15.129032258064514,1.5685618729096986,6
Scala,2022-08-01,21.838709677419352,14.354838709677422,7.4838709677419306,0.52134831460674114,7
Data,2022-08-01,18.967741935483872,1.0645161290322582,17.903225806451612,16.818181818181817,8
English,2022-08-01,9.8387096774193576,13.709677419354838,-3.8709677419354804,-0.28235294117647036,9
Tableau,2022-08-01,8.35483870967742,6.4838709677419342,1.8709677419354858,0.28855721393034861,10
SQL,2022-09-01,92.299999999999983,67.580645161290334,24.719354838709648,0.36577565632458187,1
Python,2022-09-01,40.966666666666676,45.548387096774192,-4.5817204301075165,-0.10059017941454179,2
Big Data,2022-09-01,36.500000000000007,34.903225806451623,1.5967741935483843,0.045748613678373289,3
Scala,2022-09-01,32.9,21.838709677419352,11.061290322580646,0.50649926144756285,4
Java,2022-09-01,31.400000000000002,30.903225806451612,0.49677419354839003,0.016075156576200515,5
English,2022-09-01,24.733333333333331,9.8387096774193576,14.894623655913973,1.5138797814207641,6
Tableau,2022-09-01,8.9333333333333336,8.35483870967742,0.57849462365591364,0.0692406692406692,7
Power BI,2022-09-01,8.4666666666666668,24.774193548387096,-16.307526881720428,-0.6582465277777777,8
Spark,2022-09-01,7.4333333333333318,27.387096774193544,-19.953763440860214,-0.72858264625049085,9
Data,2022-09-01,4.0666666666666664,18.967741935483872,-14.901075268817205,-0.78560090702947849,10
