skill_name,month,avg_jobs_month,avg_prev_month_jobs,abs_change_in_avg_jobs,month_over_month_growth,skill_rank
SQL,2022-01-01,30.387096774193548,,,,1
Python,2022-01-01,20.064516129032256,,,,2
Java,2022-01-01,11.129032258064518,,,,3
Big Data,2022-01-01,10.06451612903226,,,,4
Spark,2022-01-01,6.0645161290322589,,,,5
English,2022-01-01,5.8064516129032269,,,,6
R,2022-01-01,5.1935483870967749,,,,7
Scala,2022-01-01,4.5806451612903221,,,,8
Hadoop,2022-01-01,4.1290322580645151,,,,9
Kafka,2022-01-01,3.9032258064516125,,,,10
Kotlin,2022-01-01,3.806451612903226,,,,11
AWS,2022-01-01,3.4516129032258069,,,,12
Data,2022-01-01,3.4,,,,13
Google Tag Manager,2022-01-01,3.0,,,,14
Google Analytics,2022-01-01,3.0,,,,14
Data modeling,2022-01-01,2.7741935483870965,,,,16
Linux,2022-01-01,2.5806451612903225,,,,17
Excel,2022-01-01,2.0,,,,18
SAS,2022-01-01,2.0,,,,18
Keboola,2022-01-01,2.0,,,,18
MS Excel,2022-01-01,1.8387096774193548,,,,21
Tableau,2022-01-01,1.7419354838709673,,,,22
powerPoint,2022-01-01,1.7222222222222219,,,,23
ETL,2022-01-01,1.6451612903225805,,,,24
Data analysis,2022-01-01,1.6129032258064513,,,,25
Azure,2022-01-01,1.3750000000000002,,,,26
Git,2022-01-01,1.2499999999999998,,,,27
PySpark,2022-01-01,1.1923076923076923,,,,28
Packeteers,2022-01-01,1.0,,,,29
SD-WAN,2022-01-01,1.0,,,,29
OpenShift,2022-01-01,1.0,,,,29
Agile,2022-01-01,1.0,,,,29
Python/SAS,2022-01-01,1.0,,,,29
Google Cloud,2022-01-01,1.0,,,,29
RDBMS,2022-01-01,1.0,,,,29
REST,2022-01-01,1.0,,,,29
PL/SQL,2022-01-01,1.0,,,,29
Enterprise Architect,2022-01-01,1.0,,,,29
Apache Big Data Stack,2022-01-01,1.0,,,,29
Google Sheets,2022-01-01,1.0,,,,29
PHP 7.x,2022-01-01,1.0,,,,29
HTML5,2022-01-01,1.0,,,,29
CDW Business Semantic Layers,2022-01-01,1.0,,,,29
Cloud,2022-01-01,1.0,,,,29
NIFI,2022-01-01,1.0,,,,29
BPMN,2022-01-01,1.0,,,,29
Bash,2022-01-01,1.0,,,,29
Amazon Web Services,2022-01-01,1.0,,,,29
Relational databases / SQL,2022-01-01,1.0,,,,29
UML,2022-01-01,1.0,,,,29
Apache Spark,2022-01-01,1.0,,,,29
UNIX/LINUX,2022-01-01,1.0,,,,29
MS SQL,2022-01-01,1.0,,,,29
Docker,2022-01-01,1.0,,,,29
Hadoop or Cloud solutions,2022-01-01,1.0,,,,29
JIRA,2022-01-01,1.0,,,,29
Artificial Intelligence,2022-01-01,1.0,,,,29
Shell Scripting,2022-01-01,1.0,,,,29
Machine Learning,2022-01-01,1.0,,,,29
Unix / Linux scripting,2022-01-01,1.0,,,,29
Hive,2022-01-01,1.0,,,,29
GCP,2022-01-01,1.0,,,,29
Riverbeds,2022-01-01,1.0,,,,29
Azure / AWS / GCP,2022-01-01,1.0,,,,29
Amazon AWS,2022-01-01,1.0,,,,29
Kubernetes,2022-01-01,1.0,,,,29
Python,2022-02-01,46.928571428571431,20.064516129032256,26.864055299539174,1.3388837850252644,1
Java,2022-02-01,35.4642857142857,11.129032258064518,24.335253456221182,2.1866459627329173,2
SQL,2022-02-01,34.571428571428569,30.387096774193548,4.1843317972350214,0.13770094024871091,3
Scala,2022-02-01,27.035714285714285,4.5806451612903221,22.455069124423964,4.9021629778672038,4
Big Data,2022-02-01,17.5,10.06451612903226,7.43548387096774,0.738782051282051,5
Kotlin,2022-02-01,10.0,3.806451612903226,6.193548387096774,1.6271186440677965,6
English,2022-02-01,8.0357142857142847,5.8064516129032269,2.2292626728110578,0.383928571428571,7
Spark,2022-02-01,7.9642857142857135,6.0645161290322589,1.8997695852534546,0.31325987841945258,8
Hadoop,2022-02-01,7.0,4.1290322580645151,2.8709677419354849,0.69531250000000044,9
Kafka,2022-02-01,5.2857142857142874,3.9032258064516125,1.3824884792626748,0.35419126328217293,10
Apache Spark,2022-02-01,4.1428571428571423,1.0,3.1428571428571423,3.1428571428571423,11
R,2022-02-01,4.0714285714285712,5.1935483870967749,-1.1221198156682037,-0.21606033717834977,12
Linux,2022-02-01,4.0000000000000018,2.5806451612903225,1.4193548387096793,0.55000000000000071,13
ETL,2022-02-01,3.5714285714285721,1.6451612903225805,1.9262672811059915,1.1708683473389361,14
MS Excel,2022-02-01,3.57142857142857,1.8387096774193548,1.7327188940092151,0.94235588972431,15
Tableau,2022-02-01,3.3928571428571423,1.7419354838709673,1.650921658986175,0.9477513227513229,16
Statistics,2022-02-01,3.3214285714285721,,,,17
Google Cloud Platform,2022-02-01,3.0,,,,18
Analytics,2022-02-01,3.0,,,,18
JIRA,2022-02-01,3.0,1.0,2.0,2.0,18
XML,2022-02-01,2.9230769230769225,,,,21
Airflow,2022-02-01,2.9230769230769225,,,,21
Power BI,2022-02-01,2.6923076923076916,,,,23
AWS,2022-02-01,2.6785714285714284,3.4516129032258069,-0.77304147465437856,-0.22396528704939936,24
Reporting,2022-02-01,2.454545454545455,,,,25
data analytics,2022-02-01,2.454545454545455,,,,25
PySpark,2022-02-01,2.2499999999999996,1.1923076923076923,1.0576923076923073,0.887096774193548,27
Excel,2022-02-01,2.1111111111111107,2.0,0.11111111111111072,0.055555555555555358,28
Google Analytics,2022-02-01,2.0416666666666665,3.0,-0.95833333333333348,-0.31944444444444448,29
Git,2022-02-01,2.0,1.2499999999999998,0.75000000000000022,0.60000000000000031,30
SAS,2022-02-01,2.0,2.0,0.0,0.0,30
Keboola,2022-02-01,2.0,2.0,0.0,0.0,30
Kubernetes,2022-02-01,1.9642857142857142,1.0,0.96428571428571419,0.96428571428571419,33
Data modeling,2022-02-01,1.95,2.7741935483870965,-0.82419354838709658,-0.29709302325581388,34
Hive,2022-02-01,1.9285714285714284,1.0,0.92857142857142838,0.92857142857142838,35
Pandas,2022-02-01,1.6666666666666665,,,,36
Hadoop or Cloud solutions,2022-02-01,1.5000000000000002,1.0,0.50000000000000022,0.50000000000000022,37
Data,2022-02-01,1.4166666666666665,3.4,-1.9833333333333334,-0.58333333333333337,38
Analytical Thinking,2022-02-01,1.1785714285714286,,,,39
Business Intelligence,2022-02-01,1.0,,,,40
Google Optymize,2022-02-01,1.0,,,,40
OpenShift,2022-02-01,1.0,1.0,0.0,0.0,40
English C1,2022-02-01,1.0,,,,40
Agile,2022-02-01,1.0,1.0,0.0,0.0,40
Linear Models,2022-02-01,1.0,,,,40
Python/SAS,2022-02-01,1.0,1.0,0.0,0.0,40
Google Cloud,2022-02-01,1.0,1.0,0.0,0.0,40
REST,2022-02-01,1.0,1.0,0.0,0.0,40
Analysing Data,2022-02-01,1.0,,,,40
Enterprise Architect,2022-02-01,1.0,1.0,0.0,0.0,40
Apache Big Data Stack,2022-02-01,1.0,1.0,0.0,0.0,40
Powershell,2022-02-01,1.0,,,,40
Google Sheets,2022-02-01,1.0,1.0,0.0,0.0,40
PHP 7.x,2022-02-01,1.0,1.0,0.0,0.0,40
Data analysis,2022-02-01,1.0,1.6129032258064513,-0.61290322580645129,-0.37999999999999989,40
HTML5,2022-02-01,1.0,1.0,0.0,0.0,40
Cloud,2022-02-01,1.0,1.0,0.0,0.0,40
NIFI,2022-02-01,1.0,1.0,0.0,0.0,40
UNIX/LINUX (Red Hat) RH 7.x,2022-02-01,1.0,,,,40
BPMN,2022-02-01,1.0,1.0,0.0,0.0,40
Bash,2022-02-01,1.0,1.0,0.0,0.0,40
SAP BO,2022-02-01,1.0,,,,40
SEM,2022-02-01,1.0,,,,40
Microsoft Azure Cloud,2022-02-01,1.0,,,,40
Amazon Web Services,2022-02-01,1.0,1.0,0.0,0.0,40
UML,2022-02-01,1.0,1.0,0.0,0.0,40
Hortonworks Data Platform (HDP),2022-02-01,1.0,,,,40
Docker,2022-02-01,1.0,1.0,0.0,0.0,40
