active_date,skill_name,job_count,month_total
2022-01,SQL,53,225
2022-01,Python,33,225
2022-01,Java,22,225
2022-01,Spark,11,225
2022-01,Kotlin,10,225
2022-01,Hadoop,8,225
2022-01,GCP,7,225
2022-01,Excel,7,225
2022-01,Scala,6,225
2022-01,R,6,225
2022-01,AWS,5,225
2022-01,Kafka,5,225
2022-01,Linux,5,225
2022-01,Tableau,4,225
2022-01,ETL,4,225
2022-01,powerPoint,4,225
2022-01,Azure,2,225
2022-01,Git,2,225
2022-01,Keboola,2,225
2022-01,SAS,2,225
2022-01,SD-WAN,1,225
2022-01,Riverbeds,1,225
2022-01,Packeteers,1,225
2022-01,JIRA,1,225
2022-01,Hive,1,225
2022-01,Cloud,1,225
2022-01,Enterprise Architect,1,225
2022-01,BPMN,1,225
2022-01,UML,1,225
2022-01,REST,1,225
2022-01,Amazon AWS,1,225
2022-01,Machine Learning,1,225
2022-01,Artificial Intelligence,1,225
2022-01,Hadoop or Cloud solutions,1,225
2022-01,NIFI,1,225
2022-01,Unix / Linux scripting,1,225
2022-01,HTML5,1,225
2022-01,PHP 7.x,1,225
2022-01,Agile,1,225
2022-01,Amazon Web Services,1,225
2022-01,UNIX/LINUX,1,225
2022-01,RDBMS,1,225
2022-01,Kubernetes,1,225
2022-01,Docker,1,225
2022-01,Bash,1,225
2022-01,OpenShift,1,225
2022-01,Shell Scripting,1,225
2022-02,Python,62,334
2022-02,SQL,49,334
2022-02,Java,40,334
2022-02,Scala,33,334
2022-02,Spark,19,334
2022-02,Kotlin,10,334
2022-02,GCP,9,334
2022-02,Excel,9,334
2022-02,Hadoop,7,334
2022-02,ETL,7,334
2022-02,R,6,334
2022-02,Tableau,6,334
2022-02,Kafka,6,334
2022-02,Linux,6,334
2022-02,Statistics,5,334
2022-02,AWS,5,334
2022-02,PowerBI,3,334
2022-02,Airflow,3,334
2022-02,XML,3,334
2022-02,JIRA,3,334
2022-02,Reporting,3,334
2022-02,Pandas,2,334
2022-02,Hive,2,334
2022-02,Git,2,334
2022-02,Keboola,2,334
2022-02,Hadoop or Cloud solutions,2,334
2022-02,SAS,2,334
2022-02,Kubernetes,2,334
2022-02,Linear Models,1,334
2022-02,Clustering,1,334
2022-02,Cloud,1,334
2022-02,Enterprise Architect,1,334
2022-02,BPMN,1,334
2022-02,UML,1,334
2022-02,REST,1,334
2022-02,Machine Learning,1,334
2022-02,Artificial Intelligence,1,334
2022-02,NIFI,1,334
2022-02,UNIX/LINUX (Red Hat) RH 7.x,1,334
2022-02,HTML5,1,334
2022-02,PHP 7.x,1,334
2022-02,Agile,1,334
2022-02,Amazon Web Services,1,334
2022-02,qlik,1,334
2022-02,Microsoft Azure Cloud,1,334
2022-02,SEM,1,334
2022-02,SEO,1,334
2022-02,Powershell,1,334
2022-02,Azure,1,334
2022-02,Docker,1,334
2022-02,Bash,1,334
2022-02,OpenShift,1,334
2022-02,Shell Scripting,1,334
2022-02,SAP BO,1,334
2022-03,Python,73,460
2022-03,SQL,69,460
2022-03,Java,53,460
