active_date,skill_name,database_solution,nosql_solution,databse_theory,cloud_solution,scripting_language,business_intelligence,job_count
2022-01,SQL,1,0,0,0,0,0,53
2022-01,Python,0,0,0,0,1,0,32
2022-01,Java,0,0,0,0,1,0,22
2022-01,Spark,1,1,0,0,0,0,11
2022-01,Hadoop,1,1,0,0,0,0,9
2022-01,Excel,0,0,0,0,0,1,7
2022-01,AWS,0,0,0,1,0,0,7
2022-01,Linux,0,0,0,0,0,0,7
2022-01,Scala,0,0,0,0,1,0,6
2022-01,R,0,0,0,0,1,0,6
2022-01,GCP,0,0,0,1,0,0,5
2022-01,Tableau,0,0,0,0,0,1,4
2022-01,ETL,0,0,1,0,0,0,4
2022-01,Statistical methods,0,0,0,0,0,0,4
2022-01,Azure,0,0,0,1,0,0,3
2022-02,Python,0,0,0,0,1,0,61
2022-02,SQL,1,0,0,0,0,0,49
2022-02,Java,0,0,0,0,1,0,40
2022-02,Scala,0,0,0,0,1,0,33
2022-02,Spark,1,1,0,0,0,0,19
2022-02,Excel,0,0,0,0,0,1,10
2022-02,Hadoop,1,1,0,0,0,0,9
2022-02,GCP,0,0,0,1,0,0,8
2022-02,Statistical methods,0,0,0,0,0,0,8
2022-02,ETL,0,0,1,0,0,0,7
2022-02,Linux,0,0,0,0,0,0,7
2022-02,R,0,0,0,0,1,0,6
2022-02,Tableau,0,0,0,0,0,1,6
2022-02,AWS,0,0,0,1,0,0,6
2022-02,PowerBI,0,0,0,0,0,1,3
2022-02,Azure,0,0,0,1,0,0,2
2022-02,Qlik,0,0,0,0,0,1,1
2022-02,SAP,0,0,0,0,0,0,1
2022-03,Python,0,0,0,0,1,0,72
2022-03,SQL,1,0,0,0,0,0,69
2022-03,Java,0,0,0,0,1,0,53
2022-03,Scala,0,0,0,0,1,0,43
2022-03,Hadoop,1,1,0,0,0,0,28
2022-03,GCP,0,0,0,1,0,0,24
2022-03,Spark,1,1,0,0,0,0,22
2022-03,Excel,0,0,0,0,0,1,17
2022-03,ETL,0,0,1,0,0,0,12
2022-03,AWS,0,0,0,1,0,0,10
2022-03,Statistical methods,0,0,0,0,0,0,8
