active_date,skill_name,job_count
2022-01-01,SQL,37
2022-01-01,Python,21
2022-01-01,Java,17
2022-01-01,Big Data,16
2022-01-01,Kotlin,10
2022-01-01,English,7
2022-01-01,R,6
2022-01-01,Spark,5
2022-01-01,AWS,5
2022-01-01,Data,4
2022-01-01,Scala,4
2022-01-01,ETL,3
2022-01-01,Data modeling,3
2022-01-01,Azure,2
2022-01-01,Excel,2
2022-01-01,Kafka,2
2022-01-01,MS Excel,2
2022-01-01,SAS,2
2022-01-01,SD-WAN,1
2022-01-01,Riverbeds,1
2022-01-01,Packeteers,1
2022-01-01,JIRA,1
2022-01-01,Tableau,1
2022-01-01,Hive,1
2022-01-01,Google Sheets,1
2022-01-01,Enterprise Architect,1
2022-01-01,BPMN,1
2022-01-01,UML,1
2022-01-01,Amazon AWS,1
2022-01-01,Hadoop or Cloud solutions,1
2022-01-01,Data analysis,1
2022-01-01,NIFI,1
2022-01-01,Hadoop,1
2022-01-01,Unix / Linux scripting,1
2022-01-01,Relational databases / SQL,1
2022-01-01,CDW Business Semantic Layers,1
2022-01-01,PL/SQL,1
2022-01-01,Azure / AWS / GCP,1
2022-01-01,UNIX/LINUX,1
2022-01-01,Apache Big Data Stack,1
2022-01-01,GCP,1
2022-01-01,Python/SAS,1
2022-01-01,Linux,1
2022-01-01,RDBMS,1
2022-01-01,MS SQL,1
2022-01-01,powerPoint,1
2022-01-01,Kubernetes,1
2022-01-01,Google Cloud,1
2022-01-01,Shell Scripting,1
2022-01-02,SQL,37
2022-01-02,Python,21
2022-01-02,Java,17
2022-01-02,Big Data,16
2022-01-02,Kotlin,10
2022-01-02,English,7
2022-01-02,R,6
2022-01-02,Spark,5
2022-01-02,AWS,5
2022-01-02,Data,4
2022-01-02,Scala,4
2022-01-02,ETL,3
2022-01-02,Data modeling,3
2022-01-02,Azure,2
2022-01-02,Excel,2
2022-01-02,Kafka,2
2022-01-02,MS Excel,2
2022-01-02,SAS,2
2022-01-02,SD-WAN,1
2022-01-02,Riverbeds,1
2022-01-02,Packeteers,1
2022-01-02,JIRA,1
2022-01-02,Tableau,1
2022-01-02,Hive,1
2022-01-02,Google Sheets,1
2022-01-02,Enterprise Architect,1
2022-01-02,BPMN,1
2022-01-02,UML,1
2022-01-02,Amazon AWS,1
2022-01-02,Hadoop or Cloud solutions,1
2022-01-02,Data analysis,1
2022-01-02,NIFI,1
2022-01-02,Hadoop,1
2022-01-02,Unix / Linux scripting,1
2022-01-02,Relational databases / SQL,1
2022-01-02,CDW Business Semantic Layers,1
2022-01-02,PL/SQL,1
2022-01-02,Azure / AWS / GCP,1
2022-01-02,UNIX/LINUX,1
2022-01-02,Apache Big Data Stack,1
2022-01-02,GCP,1
2022-01-02,Python/SAS,1
2022-01-02,Linux,1
2022-01-02,RDBMS,1
2022-01-02,MS SQL,1
2022-01-02,powerPoint,1
2022-01-02,Kubernetes,1
2022-01-02,Google Cloud,1
2022-01-02,Shell Scripting,1
2022-01-03,SQL,37
2022-01-03,Python,21
2022-01-03,Java,17
2022-01-03,Big Data,16
2022-01-03,Kotlin,10
2022-01-03,English,7
2022-01-03,R,6
2022-01-03,Spark,5
2022-01-03,AWS,5
2022-01-03,Data,4
2022-01-03,Scala,4
2022-01-03,ETL,3
2022-01-03,Data modeling,3
2022-01-03,Azure,2
2022-01-03,Excel,2
2022-01-03,Kafka,2
2022-01-03,MS Excel,2
2022-01-03,SAS,2
2022-01-03,SD-WAN,1
2022-01-03,Riverbeds,1
2022-01-03,Packeteers,1
2022-01-03,JIRA,1
2022-01-03,Tableau,1
2022-01-03,Hive,1
2022-01-03,Google Sheets,1
2022-01-03,Enterprise Architect,1
2022-01-03,BPMN,1
2022-01-03,UML,1
2022-01-03,Amazon AWS,1
2022-01-03,Hadoop or Cloud solutions,1
2022-01-03,Data analysis,1
2022-01-03,NIFI,1
2022-01-03,Hadoop,1
2022-01-03,Unix / Linux scripting,1
2022-01-03,Relational databases / SQL,1
2022-01-03,CDW Business Semantic Layers,1
2022-01-03,PL/SQL,1
2022-01-03,Azure / AWS / GCP,1
2022-01-03,UNIX/LINUX,1
2022-01-03,Apache Big Data Stack,1
2022-01-03,GCP,1
2022-01-03,Python/SAS,1
2022-01-03,Linux,1
2022-01-03,RDBMS,1
2022-01-03,MS SQL,1
2022-01-03,powerPoint,1
2022-01-03,Kubernetes,1
2022-01-03,Google Cloud,1
2022-01-03,Shell Scripting,1
2022-01-04,SQL,37
2022-01-04,Python,21
2022-01-04,Java,17
2022-01-04,Big Data,16
2022-01-04,Kotlin,10
2022-01-04,English,7
2022-01-04,R,6
2022-01-04,Spark,5
2022-01-04,AWS,5
2022-01-04,Data,4
2022-01-04,Scala,4
2022-01-04,ETL,3
2022-01-04,Data modeling,3
2022-01-04,Azure,2
2022-01-04,Excel,2
2022-01-04,Kafka,2
2022-01-04,MS Excel,2
2022-01-04,SAS,2
2022-01-04,SD-WAN,1
2022-01-04,Riverbeds,1
2022-01-04,Packeteers,1
2022-01-04,JIRA,1
2022-01-04,Tableau,1
2022-01-04,Hive,1
2022-01-04,Google Sheets,1
2022-01-04,Enterprise Architect,1
2022-01-04,BPMN,1
2022-01-04,UML,1
2022-01-04,Amazon AWS,1
2022-01-04,Hadoop or Cloud solutions,1
2022-01-04,Data analysis,1
2022-01-04,NIFI,1
2022-01-04,Hadoop,1
2022-01-04,Unix / Linux scripting,1
2022-01-04,Relational databases / SQL,1
2022-01-04,CDW Business Semantic Layers,1
2022-01-04,PL/SQL,1
2022-01-04,Azure / AWS / GCP,1
2022-01-04,UNIX/LINUX,1
2022-01-04,Apache Big Data Stack,1
2022-01-04,GCP,1
2022-01-04,Python/SAS,1
2022-01-04,Linux,1
2022-01-04,RDBMS,1
2022-01-04,MS SQL,1
2022-01-04,powerPoint,1
2022-01-04,Kubernetes,1
2022-01-04,Google Cloud,1
2022-01-04,Shell Scripting,1
2022-01-05,SQL,41
2022-01-05,Python,21
2022-01-05,Java,17
2022-01-05,Big Data,16
2022-01-05,Kotlin,10
2022-01-05,English,7
2022-01-05,R,6
2022-01-05,Spark,5
2022-01-05,AWS,5
2022-01-05,Data,4
2022-01-05,Scala,4
2022-01-05,Excel,3
2022-01-05,Google Tag Manager,3
2022-01-05,Google Analytics,3
2022-01-05,ETL,3
2022-01-05,Data modeling,3
2022-01-05,Azure,2
2022-01-05,Kafka,2
2022-01-05,MS Excel,2
2022-01-05,SAS,2
2022-01-05,powerPoint,2
