active_date,skill_name,job_count
2022-01-01,SQL,37
2022-01-01,Python,21
2022-01-01,Java,17
2022-01-01,Big Data,16
2022-01-01,English,7
2022-01-01,Spark,5
2022-01-01,Data,4
2022-01-01,Scala,4
2022-01-01,Tableau,1
2022-01-02,SQL,37
2022-01-02,Python,21
2022-01-02,Java,17
2022-01-02,Big Data,16
2022-01-02,English,7
2022-01-02,Spark,5
2022-01-02,Data,4
2022-01-02,Scala,4
2022-01-02,Tableau,1
2022-01-03,SQL,37
2022-01-03,Python,21
2022-01-03,Java,17
2022-01-03,Big Data,16
2022-01-03,English,7
2022-01-03,Spark,5
2022-01-03,Data,4
2022-01-03,Scala,4
2022-01-03,Tableau,1
2022-01-04,SQL,37
2022-01-04,Python,21
2022-01-04,Java,17
2022-01-04,Big Data,16
2022-01-04,English,7
2022-01-04,Spark,5
2022-01-04,Data,4
2022-01-04,Scala,4
2022-01-04,Tableau,1
2022-01-05,SQL,41
2022-01-05,Python,21
2022-01-05,Java,17
2022-01-05,Big Data,16
2022-01-05,English,7
2022-01-05,Spark,5
2022-01-05,Data,4
2022-01-05,Scala,4
2022-01-05,Tableau,1
2022-01-06,SQL,42
2022-01-06,Python,22
2022-01-06,Java,17
2022-01-06,Big Data,16
2022-01-06,English,8
2022-01-06,Spark,5
2022-01-06,Data,4
2022-01-06,Scala,4
2022-01-06,Tableau,2
2022-01-07,SQL,40
2022-01-07,Python,21
2022-01-07,Java,17
2022-01-07,Big Data,15
2022-01-07,English,8
2022-01-07,Spark,5
2022-01-07,Scala,4
2022-01-07,Data,3
2022-01-07,Tableau,2
2022-01-08,SQL,40
2022-01-08,Python,21
2022-01-08,Java,9
2022-01-08,English,8
2022-01-08,Big Data,7
2022-01-08,Spark,5
2022-01-08,Scala,4
2022-01-08,Data,3
2022-01-08,Tableau,2
2022-01-09,SQL,40
2022-01-09,Python,20
2022-01-09,Java,9
2022-01-09,English,8
2022-01-09,Big Data,6
2022-01-09,Spark,5
2022-01-09,Scala,4
2022-01-09,Data,3
2022-01-09,Tableau,2
2022-01-10,SQL,37
2022-01-10,Python,17
2022-01-10,Java,9
2022-01-10,English,8
2022-01-10,Big Data,6
2022-01-10,Spark,5
2022-01-10,Scala,4
2022-01-10,Data,3
2022-01-10,Tableau,2
2022-01-11,SQL,35
2022-01-11,Python,16
2022-01-11,Java,9
2022-01-11,English,9
2022-01-11,Big Data,6
2022-01-11,Spark,5
2022-01-11,Scala,4
2022-01-11,Data,3
2022-01-11,Tableau,2
2022-01-12,SQL,37
2022-01-12,Python,19
2022-01-12,Java,9
2022-01-12,English,9
2022-01-12,Big Data,8
2022-01-12,Spark,7
2022-01-12,Scala,4
2022-01-12,Data,3
2022-01-12,Tableau,2
2022-01-13,SQL,37
2022-01-13,Python,19
2022-01-13,Java,9
2022-01-13,Big Data,8
2022-01-13,English,8
2022-01-13,Spark,7
2022-01-13,Scala,4
2022-01-13,Data,3
2022-01-13,Tableau,2
2022-01-14,SQL,37
2022-01-14,Python,19
2022-01-14,Java,9
2022-01-14,Big Data,8
2022-01-14,English,8
2022-01-14,Spark,7
2022-01-14,Scala,4
2022-01-14,Data,3
2022-01-14,Tableau,2
2022-01-15,SQL,37
2022-01-15,Python,22
2022-01-15,Java,10
2022-01-15,Big Data,8
2022-01-15,Spark,7
2022-01-15,English,6
2022-01-15,Scala,4
2022-01-15,Data,3
2022-01-15,Tableau,1
2022-01-16,SQL,34
2022-01-16,Python,22
2022-01-16,Java,10
2022-01-16,Big Data,8
2022-01-16,Spark,7
2022-01-16,English,6
2022-01-16,Scala,4
2022-01-16,Tableau,1
2022-01-17,SQL,31
2022-01-17,Python,19
2022-01-17,Java,9
2022-01-17,Spark,7
2022-01-17,Big Data,7
2022-01-17,English,6
2022-01-17,Scala,4
2022-01-17,Tableau,1
2022-01-18,SQL,31
2022-01-18,Python,19
2022-01-18,Java,9
2022-01-18,Big Data,8
2022-01-18,Spark,7
2022-01-18,English,6
2022-01-18,Scala,4
2022-01-18,Tableau,1
2022-01-19,SQL,31
2022-01-19,Python,19
2022-01-19,Java,9
2022-01-19,Big Data,8
2022-01-19,Spark,7
2022-01-19,English,5
2022-01-19,Scala,4
2022-01-19,Tableau,1
2022-01-20,SQL,31
2022-01-20,Python,20
2022-01-20,Java,10
2022-01-20,Big Data,9
2022-01-20,Spark,7
2022-01-20,Scala,5
2022-01-20,English,5
2022-01-20,Tableau,1
2022-01-21,SQL,21
2022-01-21,Python,19
2022-01-21,Java,10
2022-01-21,Big Data,9
2022-01-21,Spark,7
2022-01-21,Scala,5
2022-01-21,English,4
2022-01-21,Tableau,1
2022-01-22,Python,20
2022-01-22,SQL,18
2022-01-22,Big Data,9
2022-01-22,Java,9
2022-01-22,Spark,6
2022-01-22,Scala,5
2022-01-22,English,4
2022-01-22,Tableau,1
2022-01-23,Python,20
2022-01-23,SQL,18
2022-01-23,Big Data,9
2022-01-23,Java,9
2022-01-23,Spark,6
2022-01-23,Scala,5
2022-01-23,English,4
2022-01-23,Tableau,1
2022-01-24,Python,20
2022-01-24,SQL,18
2022-01-24,Big Data,9
2022-01-24,Java,9
2022-01-24,Spark,6
2022-01-24,Scala,5
2022-01-24,English,4
2022-01-24,Tableau,1
2022-01-25,Python,21
2022-01-25,SQL,21
2022-01-25,Big Data,9
2022-01-25,Java,9
2022-01-25,Spark,6
2022-01-25,Scala,5
2022-01-25,Tableau,3
2022-01-25,English,3
2022-01-26,Python,21
2022-01-26,SQL,21
2022-01-26,Java,10
2022-01-26,Big Data,9
2022-01-26,Spark,6
2022-01-26,Scala,6
2022-01-26,Tableau,3
2022-01-26,English,3
2022-01-27,Python,21
2022-01-27,SQL,20
2022-01-27,Big Data,10
2022-01-27,Java,10
2022-01-27,Spark,6
2022-01-27,Scala,6
2022-01-27,Tableau,3
2022-01-27,English,3
2022-01-28,Python,20
2022-01-28,SQL,19
2022-01-28,Big Data,10
2022-01-28,Java,10
2022-01-28,Spark,6
2022-01-28,Scala,6
2022-01-28,Tableau,3
2022-01-28,English,3
2022-01-29,Python,20
2022-01-29,SQL,19
2022-01-29,Big Data,10
2022-01-29,Java,10
2022-01-29,Spark,7
2022-01-29,Scala,6
2022-01-29,Tableau,3
2022-01-29,English,3
2022-01-30,Python,20
2022-01-30,SQL,19
2022-01-30,Big Data,10
2022-01-30,Java,10
2022-01-30,Spark,7
2022-01-30,Scala,6
2022-01-30,Tableau,3
2022-01-30,English,3
